type,label
http://www.wikidata.org/entity/Q1145276,fiktives Land
http://www.wikidata.org/entity/Q1145276,fictief land
http://www.wikidata.org/entity/Q1145276,fictional country
http://www.wikidata.org/entity/Q114586269,lyrico-musical work
http://www.wikidata.org/entity/Q114586269,lyrisch-musikalisches Werk
http://www.wikidata.org/entity/Q114586269,lyrisch-muzikaal werk
http://www.wikidata.org/entity/Q11469,glas
http://www.wikidata.org/entity/Q11469,Glas
http://www.wikidata.org/entity/Q11469,glass
http://www.wikidata.org/entity/Q11469,lasi
http://www.wikidata.org/entity/Q11469,steklo
http://www.wikidata.org/entity/Q114768,kašča
http://www.wikidata.org/entity/Q114768,vilja-aitta
http://www.wikidata.org/entity/Q114768,granary
http://www.wikidata.org/entity/Q114768,graanopslag
http://www.wikidata.org/entity/Q114768,Getreidespeicher
http://www.wikidata.org/entity/Q1147753,cyclorama
http://www.wikidata.org/entity/Q1147753,cyclorama
http://www.wikidata.org/entity/Q1147753,Cyklorama
http://www.wikidata.org/entity/Q1148359,graue Literatur
http://www.wikidata.org/entity/Q1148359,grey literature
http://www.wikidata.org/entity/Q1148359,harmaa kirjallisuus
http://www.wikidata.org/entity/Q11486300,former bridge
http://www.wikidata.org/entity/Q11486300,voormalige brug
http://www.wikidata.org/entity/Q11499334,religiöse Doktrin
http://www.wikidata.org/entity/Q11499334,religious doctrine
http://www.wikidata.org/entity/Q1151067,rule
http://www.wikidata.org/entity/Q1151067,sääntö
http://www.wikidata.org/entity/Q1151067,pravilo
http://www.wikidata.org/entity/Q1151067,Regel
http://www.wikidata.org/entity/Q1151067,mensgemaakte regel
http://www.wikidata.org/entity/Q1154710,Fußballstadion
http://www.wikidata.org/entity/Q1154710,association football venue
http://www.wikidata.org/entity/Q1154710,voetbalstadion
http://www.wikidata.org/entity/Q1154710,jalkapallostadion
http://www.wikidata.org/entity/Q115473170,group of musical works
http://www.wikidata.org/entity/Q115473170,Gruppe musikalischer Werke
http://www.wikidata.org/entity/Q115488,medaillon
http://www.wikidata.org/entity/Q115488,Medaillon
http://www.wikidata.org/entity/Q115488,medaljon
http://www.wikidata.org/entity/Q115488,medallion
http://www.wikidata.org/entity/Q115570126,sgraffito
http://www.wikidata.org/entity/Q115570126,Sgraffito
http://www.wikidata.org/entity/Q115819325,torenflat
http://www.wikidata.org/entity/Q115819325,Punkthaus
http://www.wikidata.org/entity/Q115819325,point block
http://www.wikidata.org/entity/Q116024939,official state coach
http://www.wikidata.org/entity/Q116024939,officiële staatskoets
http://www.wikidata.org/entity/Q116024939,offizieller Staatskutsche
http://www.wikidata.org/entity/Q1160621,heemkunde
http://www.wikidata.org/entity/Q1160621,local history
http://www.wikidata.org/entity/Q1160621,lokalna zgodovina
http://www.wikidata.org/entity/Q1160621,Ortsgeschichte
http://www.wikidata.org/entity/Q1160621,paikallishistoria
http://www.wikidata.org/entity/Q1161145,prozagedicht
http://www.wikidata.org/entity/Q1161145,Prosagedicht
http://www.wikidata.org/entity/Q1161145,Proosaruno
http://www.wikidata.org/entity/Q1161145,prose poetry
http://www.wikidata.org/entity/Q116188740,militair kerkgebouw
http://www.wikidata.org/entity/Q116188740,Militärkirche
http://www.wikidata.org/entity/Q116188740,military church
http://www.wikidata.org/entity/Q11635,Gledališče
http://www.wikidata.org/entity/Q11635,teatteri
http://www.wikidata.org/entity/Q11635,theater
http://www.wikidata.org/entity/Q11635,Theater
http://www.wikidata.org/entity/Q11635,theatre
http://www.wikidata.org/entity/Q1164267,Reisebericht
http://www.wikidata.org/entity/Q1164267,travel book
http://www.wikidata.org/entity/Q1164267,reisverhaal
http://www.wikidata.org/entity/Q1164267,Potopis
http://www.wikidata.org/entity/Q1164267,matkakertomus
http://www.wikidata.org/entity/Q116452632,gedenkmuur
http://www.wikidata.org/entity/Q116452632,memorial wall
http://www.wikidata.org/entity/Q1166625,matemaattinen ongelma
http://www.wikidata.org/entity/Q1166625,matematični problem
http://www.wikidata.org/entity/Q1166625,mathematical problem
http://www.wikidata.org/entity/Q1166625,mathematisches Problem
http://www.wikidata.org/entity/Q1166625,wiskundig probleem
http://www.wikidata.org/entity/Q116847800,reproduction (derivative object)
http://www.wikidata.org/entity/Q11690026,chansonnier
http://www.wikidata.org/entity/Q11690026,chansonnier
http://www.wikidata.org/entity/Q11690026,Cancionero
http://www.wikidata.org/entity/Q11707,ravintola
http://www.wikidata.org/entity/Q11707,restaurant
http://www.wikidata.org/entity/Q11707,restaurant
http://www.wikidata.org/entity/Q11707,Restaurant
http://www.wikidata.org/entity/Q11707,restavracija
http://www.wikidata.org/entity/Q1173065,album
http://www.wikidata.org/entity/Q1173065,album
